tag,value,type,label,label_cn,only_bj,use
amenity,arts_centre,node,poi-building,建筑,0,1
amenity,arts_centre,way,poi-building,建筑,0,1
amenity,atm,node,poi-atm,ATM取款机,0,0
amenity,bank,node,poi-building,建筑,0,1
amenity,bank,way,poi-building,建筑,0,1
amenity,bar,node,poi-building,建筑,0,1
amenity,bar,way,poi-building,建筑,0,1
amenity,bbq,node,poi-bbq,烧烤处,0,0
amenity,bench,node,poi-bench,长椅,0,0
amenity,bench,way,poi-bench,长椅,0,0
amenity,bicycle_parking,node,poi-bicycle_parking,自行车停靠处,0,0
amenity,bicycle_parking,way,poi-bicycle_parking,自行车停靠处,0,0
amenity,bicycle_rental,node,poi-bicycle_rental,自行车租赁处,0,0
amenity,biergarten,way,poi-biergarten,酒吧外的喝酒区,0,0
amenity,boat_storage,way,poi-boat_storage,轮船存放处,0,0
amenity,bus_station,way,poi-bus_station,公交车站,0,0
amenity,bus_station,node,poi-bus_station,公交车站,0,0
amenity,cafe,way,poi-building,建筑,0,1
amenity,cafe,node,poi-building,建筑,0,1
amenity,car_rental,way,poi-car_rental,汽车租赁处,0,0
amenity,car_wash,way,poi-car_wash,洗车处,0,0
amenity,car_wash,node,poi-car_wash,洗车处,0,0
amenity,childcare,way,poi-childcare,护儿所,0,0
amenity,cinema,way,poi-building,建筑,0,1
amenity,cinema,node,poi-building,建筑,0,1
amenity,clinic,node,poi-building,建筑,0,1
amenity,clinic,way,poi-building,建筑,0,1
amenity,college,way,poi-building,建筑,0,1
amenity,college,node,poi-building,建筑,0,1
amenity,community_centre,way,poi-community_centre,社区中心,0,0
amenity,community_centre,node,poi-community_centre,社区中心,0,0
amenity,courthouse,node,poi-building,建筑,0,0
amenity,courthouse,way,poi-building,建筑,0,0
amenity,dentist,node,poi-dentist,牙医,0,0
amenity,dentist,way,poi-dentist,牙医,0,0
amenity,doctors,way,poi-doctors,医生,0,0
amenity,doctors,node,poi-doctors,医生,0,0
amenity,drinking_water,node,poi-drinking_water,饮用水,0,0
amenity,driving_school,way,poi-driving_school,驾校,0,0
amenity,embassy,way,poi-embassy,大使馆,0,0
amenity,fast_food,way,poi-building,建筑,0,1
amenity,fast_food,node,poi-building,建筑,0,1
amenity,ferry_terminal,node,poi-pier,码头,0,1
amenity,ferry_terminal,way,poi-pier,码头,0,1
amenity,fire_station,node,poi-fire_station,消防站,0,0
amenity,fire_station,way,poi-fire_station,消防站,0,0
amenity,fountain,way,poi-fountain,喷泉,0,0
amenity,fountain,node,poi-fountain,喷泉,0,0
amenity,fuel,node,poi-fuel,加油站,0,0
amenity,fuel,way,poi-fuel,加油站,0,0
amenity,grave_yard,node,poi-grave_yard,墓地,0,0
amenity,grave_yard,way,poi-grave_yard,墓地,0,0
amenity,hospital,way,poi-building,建筑,0,1
amenity,hospital,node,poi-building,建筑,0,1
amenity,hunting_stand,node,poi-hunting_stand,狩猎场,0,0
amenity,kindergarten,node,poi-building,建筑,0,1
amenity,kindergarten,way,poi-building,建筑,0,1
amenity,library,way,poi-building,建筑,0,1
amenity,library,node,poi-building,建筑,0,1
amenity,marketplace,node,poi-building,建筑,0,1
amenity,marketplace,way,poi-building,建筑,0,1
amenity,motorcycle_parking,way,poi-motorcycle_parking,摩托车停放处,0,0
amenity,nightclub,node,poi-building,建筑,0,0
amenity,nightclub,way,poi-building,建筑,0,0
amenity,nursing_home,node,poi-building,建筑,0,0
amenity,nursing_home,way,poi-building,建筑,0,0
amenity,parking,way,poi-parking,停车场,0,1
amenity,parking,node,poi-parking,停车场,0,1
amenity,parking_entrance,node,poi-parking_entrance,停车场入口,0,0
amenity,parking_space,node,poi-parking_space,停车位,0,0
amenity,parking_space,way,poi-parking_space,停车位,0,0
amenity,pharmacy,node,poi-building,建筑,0,1
amenity,pharmacy,way,poi-building,建筑,0,1
amenity,place_of_worship,node,poi-place_of_worship,宗教场所,0,0
amenity,place_of_worship,way,poi-place_of_worship,宗教场所,0,0
amenity,police,node,poi-building,建筑,0,1
amenity,police,way,poi-building,建筑,0,1
amenity,post_box,node,poi-post_box,邮筒,0,0
amenity,post_office,way,poi-building,建筑,0,1
amenity,post_office,node,poi-building,建筑,0,1
amenity,prison,way,poi-prison,监狱,0,0
amenity,pub,way,poi-building,建筑,0,0
amenity,public_building,node,poi-building,建筑,0,1
amenity,recycling,node,poi-recycling,回收站,0,0
amenity,recycling,way,poi-recycling,回收站,0,0
amenity,residential,way,poi-residential,居住地,0,0
amenity,restaurant,way,poi-building,建筑,0,1
